rid,org_id,sex,age,tenure_yr,LS_TOT,org_size,W1_SC_p1,W1_SC_p2,W1_SC_p3,W1_WE_p1,W1_WE_p2,W1_WE_p3,W1_TI_p1,W1_TI_p2,W1_TI_p3,W2_SC_p1,W2_SC_p2,W2_SC_p3,W2_WE_p1,W2_WE_p2,W2_WE_p3,W2_TI_p1,W2_TI_p2,W2_TI_p3,W3_SC_p1,W3_SC_p2,W3_SC_p3,W3_WE_p1,W3_WE_p2,W3_WE_p3,W3_TI_p1,W3_TI_p2,W3_TI_p3
R0232,ORG22,2,30,2.7,3.0,2768,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0
R0233,ORG22,2,32,0.4,3.4,2768,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0
R0234,ORG22,1,29,4.0,3.6,2768,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
R0236,ORG22,1,28,0.2,4.6000000000000005,2768,2.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0
R0237,ORG22,1,28,1.7,4.2,2768,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0
R0238,ORG23,2,20,4.0,2.1999999999999997,1365,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0
R0239,ORG23,1,26,0.5,3.1999999999999997,1365,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
R0240,ORG23,2,38,0.5,3.0,1365,3.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
R0241,ORG23,2,35,6.0,3.4,1365,3.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0
R0242,ORG23,2,25,2.0,4.2,1365,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0
R0243,ORG23,1,21,8.6,2.4,1365,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
R0244,ORG23,2,35,0.6,3.6,1365,3.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0
R0245,ORG23,1,34,5.6,3.8000000000000003,1365,2.0,4.0,3.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0
R0246,ORG24,1,31,1.6,2.6,2040,5.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
R0247,ORG24,2,28,0.9,3.0,2040,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,,,,,,,,,
R0248,ORG24,1,22,6.2,3.8000000000000003,2040,2.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0
R0249,ORG24,1,34,1.8,4.2,2040,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
R0250,ORG24,1,33,1.9,4.3999999999999995,2040,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0
R0251,ORG24,2,36,1.8,2.6,2040,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0
R0252,ORG24,1,28,2.9,1.8,2040,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,
R0253,ORG24,2,34,0.6,4.2,2040,3.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,
R0254,ORG25,1,37,10.5,3.4,2976,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,
R0255,ORG25,1,33,2.0,1.5999999999999999,2976,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0
R0256,ORG25,1,31,2.1,2.8000000000000003,2976,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,,,,,,,,,
R0257,ORG25,2,23,4.9,3.1999999999999997,2976,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0
R0258,ORG25,1,31,4.1,3.6,2976,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,
R0259,ORG25,1,22,6.1,3.1999999999999997,2976,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
R0260,ORG25,1,39,1.7,2.1999999999999997,2976,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0
R0261,ORG25,1,35,2.4,2.0,2976,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,
R0262,ORG25,1,31,9.5,1.2,2976,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0
R0263,ORG26,2,30,8.5,3.8000000000000003,2867,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
R0264,ORG26,2,29,2.5,3.4,2867,3.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0
R0265,ORG26,1,30,0.4,2.6,2867,3.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0
R0266,ORG26,2,31,0.1,3.1999999999999997,2867,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0
R0267,ORG26,1,27,0.5,2.6,2867,3.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
R0268,ORG26,2,30,1.8,4.3999999999999995,2867,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0
R0269,ORG26,1,30,3.9,3.0,2867,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0
R0270,ORG26,1,29,6.8,4.6000000000000005,2867,3.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0
R0272,ORG27,1,34,1.7,2.5,2307,4.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0
R0273,ORG27,1,36,5.0,2.4,2307,3.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0
R0274,ORG27,2,28,10.5,1.5999999999999999,2307,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0275,ORG27,2,38,1.6,2.6,2307,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
R0276,ORG27,1,24,4.3,3.1999999999999997,2307,4.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0
R0277,ORG27,2,28,3.3,1.8,2307,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
R0278,ORG27,1,39,3.4,2.6,2307,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0
R0279,ORG27,1,31,11.1,3.4,2307,2.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0
R0280,ORG27,2,30,1.9,3.6,2307,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0
R0281,ORG27,2,32,5.6,2.8000000000000003,2307,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0
R0282,ORG27,2,29,4.4,4.3999999999999995,2307,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0
R0283,ORG28,1,32,4.8,3.8000000000000003,2691,3.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0
R0284,ORG28,2,32,0.9,4.2,2691,4.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0
R0285,ORG28,1,31,3.3,4.0,2691,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0
R0286,ORG28,1,24,1.8,3.0,2691,4.0,2.0,3.0,2.0,1.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,,,,,,,,,
R0287,ORG28,1,28,2.8,4.2,2691,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0
R0288,ORG29,2,32,2.4,3.6,2640,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R0289,ORG29,2,26,5.8,2.5,2640,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0
R0290,ORG29,1,26,0.5,2.8000000000000003,2640,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
R0291,ORG29,1,27,0.4,3.0,2640,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0
R0292,ORG29,1,30,1.2,2.0,2640,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0
R0293,ORG29,2,33,1.3,3.1999999999999997,2640,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0
R0294,ORG29,1,32,2.0,2.0,2640,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
R0295,ORG29,1,35,5.6,2.0,2640,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0
R0296,ORG29,2,32,5.5,1.0,2640,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0
R0297,ORG29,2,27,6.3,2.8000000000000003,2640,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
R0298,ORG29,2,34,7.3,2.6,2640,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0
R0299,ORG29,2,36,2.1,2.4,2640,4.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0
R0300,ORG30,1,29,1.7,2.1999999999999997,499,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,4.0
R0301,ORG30,2,39,2.5,2.4,499,5.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
R0302,ORG30,1,36,3.7,2.8000000000000003,499,3.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
R0303,ORG30,1,33,2.3,1.8,499,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0
R0304,ORG30,2,31,4.7,3.1999999999999997,499,5.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,
R0305,ORG30,2,32,1.5,1.5999999999999999,499,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
R0306,ORG30,2,33,4.9,2.1999999999999997,499,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0
R0307,ORG30,2,35,5.9,3.0,499,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0
R0308,ORG30,2,32,8.7,3.1999999999999997,499,4.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,,
R0309,ORG31,2,27,1.0,2.75,1518,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0
R0310,ORG31,1,30,9.5,4.2,1518,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0
R0311,ORG31,2,28,0.3,3.8000000000000003,1518,3.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
R0312,ORG31,2,20,1.4,4.0,1518,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
R0313,ORG31,2,34,3.4,3.0,1518,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0
R0314,ORG31,1,29,1.5,3.8000000000000003,1518,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0
R0315,ORG31,2,30,1.4,4.2,1518,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0
R0316,ORG31,1,30,1.5,4.0,1518,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
R0317,ORG31,2,27,3.0,2.6,1518,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0
R0318,ORG31,1,29,3.8,3.4,1518,4.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,1.0
R0319,ORG32,1,37,0.4,3.0,1502,1.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0
R0320,ORG32,2,36,9.8,3.1999999999999997,1502,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0
R0321,ORG32,2,22,1.1,1.8,1502,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0
R0322,ORG32,1,34,0.6,4.3999999999999995,1502,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,3.0,4.0,3.0
R0323,ORG32,2,25,7.9,3.8000000000000003,1502,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,,,,,,,,,
R0324,ORG32,1,30,2.0,2.0,1502,4.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,,,,,,,,,
R0325,ORG32,1,36,2.8,3.0,1502,2.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0
R0326,ORG32,1,27,0.4,4.0,1502,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,,,,,,,,,
R0327,ORG32,2,23,0.2,1.8,1502,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,,,,,,,,,
R0329,ORG32,1,22,0.5,3.0,1502,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,,,,,,,,,
R0330,ORG32,1,32,3.9,3.75,1502,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
R0331,ORG33,2,38,2.3,4.3999999999999995,491,3.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,,,,,,,,,
R0332,ORG33,1,36,5.2,3.0,491,4.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,1.0,2.0,3.0
R0333,ORG33,2,23,2.6,3.0,491,4.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,,,,,,,,,
R0334,ORG33,2,30,2.1,2.6,491,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0
R0335,ORG33,2,30,8.3,3.0,491,3.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0
R0336,ORG33,2,31,4.4,4.2,491,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
R0337,ORG33,2,32,2.4,3.0,491,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0
R0338,ORG33,1,34,3.3,3.0,491,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0
R0339,ORG33,1,29,0.1,4.25,491,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,
R0340,ORG33,2,42,5.7,3.4,491,4.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0
R0341,ORG33,2,26,0.5,5.0,491,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0
R0342,ORG33,1,30,7.4,2.1999999999999997,491,4.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0
